Time,Country Name,ISO,FDI inflows,GDP per capita
2020,Kiribati,KIR,2624092.839,1403.993853
2021,Kiribati,KIR,1031375.962,1766.144289
2021,Indonesia,IDN,21213080330,4334.215983
2021,Sao Tome and Principe,STP,59000132.74,2350.452701
2021,Timor-Leste,TLS,-419035233.2,2741.95082
2020,Sao Tome and Principe,STP,47112184.77,2155.265868
2020,Fiji,FJI,239380737.9,4815.689148
2020,Tajikistan,TJK,106534792.8,852.3302296
2020,Senegal,SEN,1845665273,1492.475903
2021,Lao PDR,LAO,1071913716,2535.623434
2021,Nepal,NPL,196326024,1229.394205
2020,Timor-Leste,TLS,-712696166.4,1663.559629
2020,Guyana,GUY,1294482521,6863.074346
2020,Lao PDR,LAO,967706086.2,2593.355097
2020,Turkmenistan,TKM,1436241797,7330.366288
2020,Indonesia,IDN,19175077748,3895.618152
2021,Moldova,MDA,386120000,5274.744847
2020,Iraq,IRQ,-2859100000,4251.337253
2021,Guatemala,GTM,3626364530,5029.477555
2020,Nepal,NPL,126626337.5,1139.189892
2021,Turkmenistan,TKM,1287334690,7885.299896
2021,Philippines,PHL,11983363327,3460.539382
2021,Russian Federation,RUS,40449990000,12532.05078
2021,Azerbaijan,AZE,-1707666000,5408.045352
2021,Cambodia,KHM,3483461606,1625.235021
2021,St. Vincent and the Grenadines,VCT,162855590.8,8360.064239
2021,Ukraine,UKR,7954000000,4827.845703
2021,Honduras,HND,800315953.2,2771.722654
2020,Mexico,MEX,31523758914,8894.89065
2020,India,IND,64362364994,1913.219733
2020,Moldova,MDA,155720000,4376.242493
2020,Solomon Islands,SLB,8980046.942,2222.462119
2021,Mexico,MEX,33747872367,10359.14986
2021,"Egypt, Arab Rep.",EGY,5122300000,3886.722498
2021,Kazakhstan,KAZ,4566688865,10373.78979
2021,Paraguay,PRY,305820322.2,5959.441794
2021,Suriname,SUR,-132705617.5,5026.879493
2020,Vanuatu,VUT,41158955.85,2917.756849
2020,Uzbekistan,UZB,1728247828,1759.307471
2021,Solomon Islands,SLB,27919072.24,2232.536954
2021,Iraq,IRQ,-2637300000,4770.835343
2020,Cambodia,KHM,3624644990,1577.91174
2021,Vanuatu,VUT,43055519.34,3044.57364
2021,Belize,BLZ,125495493.2,6060.968223
2021,Jamaica,JAM,320480000,5183.581018
2021,"Venezuela, RB",VEN,-996000000,
2020,"Micronesia, Fed. Sts.",FSM,,3639.412699
2021,"Micronesia, Fed. Sts.",FSM,,3588.759933
2021,El Salvador,SLV,827195488.8,4664.311223
